Tiempo (s),Temperatura (°C),Estado Servo
138.26,39.50,Cerrado
138.45,39.50,Cerrado
138.64,39.50,Cerrado
138.86,39.25,Cerrado
139.07,39.50,Cerrado
139.26,39.75,Cerrado
139.47,39.75,Cerrado
139.68,39.75,Cerrado
139.89,39.50,Cerrado
140.08,39.75,Cerrado
140.29,39.50,Cerrado
140.50,40.00,Cerrado
140.69,40.00,Cerrado
140.90,39.75,Cerrado
141.10,40.00,Cerrado
141.31,40.00,Cerrado
141.50,40.00,Cerrado
141.71,40.00,Cerrado
141.92,40.25,Cerrado
142.13,39.75,Cerrado
142.33,40.25,Cerrado
142.53,40.25,Cerrado
142.74,40.50,Cerrado
142.94,40.00,Cerrado
143.14,40.25,Cerrado
143.34,39.75,Cerrado
143.55,40.00,Cerrado
143.74,40.50,Cerrado
143.95,40.25,Cerrado
144.14,40.50,Cerrado
144.35,40.75,Cerrado
144.56,40.75,Cerrado
144.77,40.50,Cerrado
144.96,40.75,Cerrado
145.17,41.00,Cerrado
145.37,40.75,Cerrado
145.58,40.50,Cerrado
145.77,40.75,Cerrado
145.98,40.50,Cerrado
146.19,41.00,Cerrado
146.38,41.25,Cerrado
146.59,40.75,Cerrado
146.80,41.25,Cerrado
146.99,41.25,Cerrado
147.20,40.75,Cerrado
147.40,41.50,Cerrado
147.60,41.25,Cerrado
147.81,41.50,Cerrado
148.01,41.50,Cerrado
148.22,41.50,Cerrado
148.41,41.75,Cerrado
148.62,41.75,Cerrado
148.83,42.00,Cerrado
149.02,41.25,Cerrado
149.23,41.75,Cerrado
149.44,42.00,Cerrado
149.63,41.50,Cerrado
149.84,42.25,Cerrado
150.04,41.75,Cerrado
150.24,42.00,Cerrado
150.44,42.00,Cerrado
150.65,41.75,Cerrado
150.84,42.25,Cerrado
151.05,42.00,Cerrado
151.26,42.25,Cerrado
151.47,42.50,Cerrado
151.66,42.75,Cerrado
151.87,42.25,Cerrado
152.07,42.50,Cerrado
152.28,42.50,Cerrado
152.47,42.50,Cerrado
152.68,43.00,Cerrado
152.89,42.75,Cerrado
153.08,42.75,Cerrado
153.29,43.00,Cerrado
153.50,43.00,Cerrado
153.69,42.50,Cerrado
153.90,43.00,Cerrado
154.11,42.75,Cerrado
154.30,43.25,Cerrado
154.51,43.25,Cerrado
154.71,43.50,Cerrado
154.91,43.50,Cerrado
155.11,43.25,Cerrado
155.32,43.50,Cerrado
155.53,43.50,Cerrado
155.72,43.50,Cerrado
155.93,43.25,Cerrado
156.14,43.50,Cerrado
156.33,43.50,Cerrado
156.55,43.75,Cerrado
156.74,44.00,Cerrado
156.95,43.25,Cerrado
157.16,44.00,Cerrado
157.37,43.75,Cerrado
157.56,44.00,Cerrado
157.78,44.00,Cerrado
157.99,44.00,Cerrado
158.20,44.00,Cerrado
158.39,44.00,Cerrado
158.60,44.25,Cerrado
158.82,43.75,Cerrado
159.02,44.00,Cerrado
159.22,44.50,Cerrado
159.42,44.25,Cerrado
159.62,44.50,Cerrado
159.82,44.00,Cerrado
160.02,44.75,Cerrado
160.23,44.50,Cerrado
160.44,44.50,Cerrado
160.66,44.75,Cerrado
160.87,45.00,Cerrado
161.06,44.75,Cerrado
161.27,44.25,Cerrado
161.49,44.50,Cerrado
161.69,44.75,Cerrado
161.89,45.00,Cerrado
162.10,45.00,Cerrado
162.31,45.00,Cerrado
162.50,45.25,Cerrado
162.71,45.50,Cerrado
162.92,45.50,Cerrado
163.11,45.25,Cerrado
163.32,45.50,Cerrado
163.53,45.25,Cerrado
163.73,45.50,Cerrado
163.94,45.50,Cerrado
164.13,45.50,Cerrado
164.34,45.75,Cerrado
164.55,45.75,Cerrado
164.74,45.75,Cerrado
164.95,45.25,Cerrado
165.16,46.00,Cerrado
165.35,46.00,Cerrado
165.56,45.75,Cerrado
165.76,46.25,Cerrado
165.97,46.25,Cerrado
166.18,46.00,Cerrado
166.37,46.25,Cerrado
166.58,46.25,Cerrado
166.79,46.75,Cerrado
166.98,46.75,Cerrado
167.19,46.50,Cerrado
167.40,46.00,Cerrado
167.59,46.75,Cerrado
167.80,46.50,Cerrado
167.99,46.50,Cerrado
168.19,46.50,Cerrado
168.40,46.50,Cerrado
168.59,46.75,Cerrado
168.80,47.00,Cerrado
169.01,46.50,Cerrado
169.22,46.75,Cerrado
169.43,47.00,Cerrado
169.62,47.25,Cerrado
169.84,47.00,Cerrado
170.05,47.00,Cerrado
170.26,47.25,Cerrado
170.45,47.00,Cerrado
170.66,46.50,Cerrado
170.87,47.25,Cerrado
171.06,47.50,Cerrado
171.27,47.50,Cerrado
171.46,47.25,Cerrado
171.67,47.75,Cerrado
171.87,47.50,Cerrado
172.08,47.50,Cerrado
172.27,47.75,Cerrado
172.48,48.00,Cerrado
172.69,48.00,Cerrado
172.88,48.00,Cerrado
173.09,47.75,Cerrado
173.30,47.75,Cerrado
173.50,47.50,Cerrado
173.71,47.50,Cerrado
173.90,47.50,Cerrado
174.11,47.50,Cerrado
174.30,48.00,Cerrado
174.51,48.00,Cerrado
174.72,48.25,Cerrado
174.93,48.00,Cerrado
175.14,48.00,Cerrado
175.33,48.75,Cerrado
175.54,48.50,Cerrado
175.74,48.50,Cerrado
175.94,48.75,Cerrado
176.16,49.00,Cerrado
176.37,48.50,Cerrado
176.58,48.75,Cerrado
176.78,48.50,Cerrado
176.99,48.75,Cerrado
177.20,49.00,Cerrado
177.39,48.75,Cerrado
177.60,49.25,Cerrado
177.81,48.50,Cerrado
178.01,49.25,Cerrado
178.22,49.25,Cerrado
178.41,49.00,Cerrado
178.62,49.25,Cerrado
178.83,49.50,Cerrado
179.04,49.50,Cerrado
179.23,49.00,Cerrado
179.44,49.50,Cerrado
179.65,49.50,Cerrado
179.84,49.25,Cerrado
181.85,49.75,Cerrado
182.04,50.25,Cerrado
182.25,50.25,Cerrado
182.44,50.50,Cerrado
182.65,50.50,Cerrado
182.84,49.75,Cerrado
183.07,50.25,Cerrado
183.26,50.25,Cerrado
183.47,50.50,Cerrado
183.68,50.50,Cerrado
183.88,50.50,Cerrado
184.09,50.50,Cerrado
184.68,50.75,Cerrado
